date,stock_code,eps,bps,roe,total_revenue,net_profit
2026-04-18,002236,1.18,11.487662943338,10.42,32743783343.8,3857923611.86
2026-04-18,002236,0.21,11.691178828256,1.83,6902346653.63,697780082.97
2025-10-25,002236,1.09,11.62943089246,9.55,22912542319.59,3535468570.41
2025-08-16,002236,0.76,11.299725165591,6.72,15181329651.13,2475566750.61
2025-04-19,002236,0.2,11.137832576562,1.8,6256129778.73,653304288.99
2025-03-29,002236,0.9,10.932067340673,8.19,32180931827.17,2905728684.03
2024-10-26,002236,0.78,10.862652222798,7.16,22450081877.91,2545010271.97
2024-08-24,002236,0.56,10.754279872146,5.1,14866622569.81,1809589445.46
2024-04-16,002236,2.31,10.538625171706,22.43,32218317636.77,7361892404.52
2024-04-16,002236,0.17,10.724881737782,1.6,6180916716.7,561037985.01
2023-10-21,002236,0.82,9.945718967235,8.52,22278484044.04,2590132339.63
2023-08-26,002236,0.63,9.826377425774,6.7,14633547280.64,1976018373.13
2023-04-28,002236,0.17,10.409958441747,1.9,6015629882.58,495351177.84
2023-04-28,002236,0.79,8.518109480681,9.49,30565370012.64,2324356092.2
2022-10-29,002236,0.57,8.281884160564,6.97,21171868473.02,1693101190.89
2022-08-20,002236,0.51,8.031605363476,6.27,14087085840.97,1519848967.71
2022-04-23,002236,0.12,8.012334390635,1.49,5847968885.65,355574576.71
2022-04-23,002236,1.15,7.886860047801,15.58,32835479336.85,3378410889.6
2021-10-30,002236,0.81,7.564185794743,11.36,21485105535.26,2399047215.98
2021-08-28,002236,0.56,7.18053187472,7.92,13505005733.89,1643175887.55
2021-04-23,002236,0.12,6.920249224792,1.74,5114399101.72,347573484.46
2021-03-24,002236,1.34,6.600736128797,22.09,26465968181.1,3902778775.35
2020-10-13,002236,0.97,6.182492907625,16.51,16166204673.11,2825124363.85
2020-08-21,002236,0.47,5.661954544092,8.35,9838328853.62,1368974364.44
2020-04-28,002236,0.11,5.324401607054,2.01,3501562275.8,317916471.89
2020-04-03,002236,1.1,5.207889645281,22.74,26149430652.42,3188144692.55
2019-10-29,002236,0.64,4.713909848466,13.99,16428235097.23,1877352423.8
2019-08-17,002236,0.42,4.522866166506,9.4,10806566370.89,1238880948.74
2019-04-26,002236,0.11,4.334360610405,2.47,4347918104.26,316343906.02
2019-03-19,002236,0.87,4.209589872623,22.16,23665688106.22,2529426468.61
2018-10-26,002236,0.54,3.949223636226,14.23,15030729066.2,1563681387.58
2018-08-21,002236,0.37,3.786551353439,9.91,9814041352.48,1081916886.52
2018-04-27,002236,0.1,3.714525498401,2.78,3617652691.4,295523140.67
2018-03-09,002236,0.82,3.610663990278,25.47,18844458053.78,2378726820.22
2017-10-30,002236,0.5,3.287844570895,16.24,11723294881.29,1444493831.26
2017-08-07,002236,0.34,3.129054533177,11.29,7464664934.38,983001211.23
2017-04-26,002236,0.1,2.941834738079,3.42,2648612419.36,286838396.38
2017-04-24,002236,0.63,2.840925363539,24.8,13329094010.82,1825199447.95
2016-10-18,002236,0.37,2.579259705285,15.35,7968634527.28,1069555716.91
2016-08-19,002236,0.25,2.452977214525,10.43,4949746889.51,709741024.33
2016-04-29,002236,0.07,2.276728662684,3.26,1782728113.94,215240055.79
2016-02-29,002236,0.48,5.597453535367,23.59,10077833438.49,1372301211.87
2015-10-26,002236,0.27,5.055220762954,13.75,5830194178.29,761185688.48
2015-08-17,002236,0.16,4.797913178621,8.56,3468887211.13,463807123.29
2015-04-16,002236,0.04,4.574220794093,1.97,1202598595.55,103404954.02
2015-03-20,002236,1.01,4.445689898103,24.44,7331881449.46,1142678484.61
2014-10-24,002236,0.63,4.523397015996,15.22,4647473079.69,724596498.69
2014-08-28,002236,0.44,4.32822943301,11.5,3042521916.96,506330773.81
2014-04-23,002236,0.18,3.813044308463,4.72,1144820982.71,201668480.66
2014-03-17,002236,1.0,3.637088768159,35.09,5410094042.8,1130921915.51
