,stock_code
0,600118
1,002532
2,000988
3,000657
4,301308
5,688072
6,002202
7,301165
8,002558
9,688183
10,600221
11,002602
12,002837
13,600549
14,688521
15,300450
16,001280
17,002353
18,601727
19,600930
20,603893
21,300476
22,600522
23,300803
24,300251
25,601456
26,300866
27,002625
28,601018
29,002384
30,001391
31,002600
32,301236
33,302132
34,601825
35,601077
36,688047
37,601058
38,600160
39,600482
40,601136
41,002028
42,002463
43,600066
44,000630
45,688506
46,000975
47,600482
48,300502
49,600160
50,002422
51,300394
52,300418
53,600026
54,000807
55,001965
56,300442
57,688009
58,600027
59,688082
60,600415
61,300832
62,603296
63,688256
64,688271
65,688041
66,601916
67,600515
68,600938
69,601059
70,600372
71,301269
72,600023
73,300308
74,000999
75,600489
76,600875
77,000617
78,688223
79,601872
80,000617
81,600233
82,601689
83,600674
84,688303
85,605117
86,600039
87,600803
88,002074
89,600460
90,600941
91,002648
92,601117
93,300661
94,002920
95,000792
96,600219
97,600188
98,000408
99,600089
100,603260
101,300999
102,300896
103,688981
104,002466
105,601898
106,000301
107,600905
108,601728
109,300316
110,300760
111,601868
112,300750
113,002709
114,605499
115,688396
116,688126
117,688111
118,601995
119,600426
120,600426
121,688008
122,600600
123,688012
124,002049
125,600150
126,603392
127,688036
128,600584
129,600845
130,600918
131,603369
132,601100
133,000708
134,002371
135,003816
136,300014
137,300628
138,601658
139,000977
140,601816
141,002916
142,600183
143,600989
144,601698
145,603501
146,000596
147,002938
148,300413
149,300498
150,601319
151,603019
152,603986
153,002179
154,002001
155,601138
156,002311
157,600760
158,601066
159,603259
160,002050
161,300433
162,002493
163,300408
164,600176
165,600438
166,600809
167,601360
168,600025
169,600346
170,603288
171,601238
172,601838
173,601012
174,603799
175,600011
176,002460
177,601878
178,300122
179,300015
180,002352
181,600436
182,600919
183,600926
184,601229
185,601881
186,002714
187,300033
188,601877
189,000938
190,002027
191,600061
192,001979
193,601211
194,601985
195,002736
196,300059
197,600958
198,601021
199,601788
200,601919
201,000166
202,600570
203,300124
204,601225
205,002475
206,600018
207,002230
208,000333
209,000963
210,603993
211,002236
212,600886
213,601800
214,000725
215,002241
216,601336
217,601633
218,601669
219,601901
220,002594
221,601377
222,000776
223,002415
224,600115
225,600276
226,600406
227,600887
228,600893
229,601818
230,601288
231,002304
232,600999
233,601688
234,601888
235,601618
236,601668
237,601766
238,600588
239,601186
240,601186
241,601899
242,601390
243,601601
244,601939
245,000338
246,000895
247,002142
248,600111
249,601009
250,601169
251,601857
252,601088
253,601328
254,601998
255,601600
256,601318
257,601166
258,601628
259,600547
260,601111
261,600048
262,601398
263,601006
264,601988
265,000768
266,000538
267,600690
268,600660
269,600585
270,600519
271,600362
272,600309
273,000625
274,000651
275,000568
276,000425
277,000157
278,000063
279,000001
280,600009
281,600010
282,600015
283,600016
284,600019
285,600028
286,600029
287,600030
288,600031
289,600036
290,600050
291,000858
292,000625
293,000651
294,000568
295,000425
296,000157
297,000063
298,000001
299,000002
