date,daily_return,num_stocks,nav,peak,drawdown
2017-02-28,0.0,30,1.0,1.0,0.0
2017-03-01,0.0,30,1.0,1.0,0.0
2017-03-02,0.0,30,1.0,1.0,0.0
2017-03-03,0.0,30,1.0,1.0,0.0
2017-03-06,0.0,30,1.0,1.0,0.0
2017-03-07,0.0,30,1.0,1.0,0.0
2017-03-08,0.0,30,1.0,1.0,0.0
2017-03-09,0.0,30,1.0,1.0,0.0
2017-03-10,0.0,30,1.0,1.0,0.0
2017-03-13,0.0,30,1.0,1.0,0.0
2017-03-14,0.0,30,1.0,1.0,0.0
2017-03-15,0.0,30,1.0,1.0,0.0
2017-03-16,0.0,30,1.0,1.0,0.0
2017-03-17,0.0,30,1.0,1.0,0.0
2017-03-20,0.0,30,1.0,1.0,0.0
2017-03-21,0.0,30,1.0,1.0,0.0
2017-03-22,0.0,30,1.0,1.0,0.0
2017-03-23,0.0,30,1.0,1.0,0.0
2017-03-24,0.0,30,1.0,1.0,0.0
2017-03-27,0.0,30,1.0,1.0,0.0
2017-03-28,0.0,30,1.0,1.0,0.0
2017-03-29,0.0,30,1.0,1.0,0.0
2017-03-30,0.0,30,1.0,1.0,0.0
2017-03-31,-0.002,30,0.998,1.0,-0.0020000000000000018
2017-04-05,0.0,30,0.998,1.0,-0.0020000000000000018
2017-04-06,0.0,30,0.998,1.0,-0.0020000000000000018
2017-04-07,0.0,30,0.998,1.0,-0.0020000000000000018
2017-04-10,0.0,30,0.998,1.0,-0.0020000000000000018
2017-04-11,0.0,30,0.998,1.0,-0.0020000000000000018
2017-04-12,0.0,30,0.998,1.0,-0.0020000000000000018
2017-04-13,0.0,30,0.998,1.0,-0.0020000000000000018
2017-04-14,0.0,30,0.998,1.0,-0.0020000000000000018
2017-04-17,0.0,30,0.998,1.0,-0.0020000000000000018
2017-04-18,0.0,30,0.998,1.0,-0.0020000000000000018
2017-04-19,0.0,30,0.998,1.0,-0.0020000000000000018
2017-04-20,0.0,30,0.998,1.0,-0.0020000000000000018
2017-04-21,0.0,30,0.998,1.0,-0.0020000000000000018
2017-04-24,0.0,30,0.998,1.0,-0.0020000000000000018
2017-04-25,0.0,30,0.998,1.0,-0.0020000000000000018
2017-04-26,0.0,30,0.998,1.0,-0.0020000000000000018
2017-04-27,0.0,30,0.998,1.0,-0.0020000000000000018
2017-04-28,-0.002,30,0.996004,1.0,-0.0039959999999999996
2017-05-02,0.0,30,0.996004,1.0,-0.0039959999999999996
2017-05-03,0.0,30,0.996004,1.0,-0.0039959999999999996
2017-05-04,0.0,30,0.996004,1.0,-0.0039959999999999996
2017-05-05,0.0,30,0.996004,1.0,-0.0039959999999999996
2017-05-08,0.0,30,0.996004,1.0,-0.0039959999999999996
2017-05-09,0.0,30,0.996004,1.0,-0.0039959999999999996
2017-05-10,0.0,30,0.996004,1.0,-0.0039959999999999996
2017-05-11,0.0,30,0.996004,1.0,-0.0039959999999999996
2017-05-12,0.0,30,0.996004,1.0,-0.0039959999999999996
2017-05-15,0.0,30,0.996004,1.0,-0.0039959999999999996
2017-05-16,0.0,30,0.996004,1.0,-0.0039959999999999996
2017-05-17,0.0,30,0.996004,1.0,-0.0039959999999999996
2017-05-18,0.0,30,0.996004,1.0,-0.0039959999999999996
2017-05-19,0.0,30,0.996004,1.0,-0.0039959999999999996
2017-05-22,0.0,30,0.996004,1.0,-0.0039959999999999996
2017-05-23,0.0,30,0.996004,1.0,-0.0039959999999999996
2017-05-24,0.0,30,0.996004,1.0,-0.0039959999999999996
2017-05-25,0.0,30,0.996004,1.0,-0.0039959999999999996
2017-05-26,0.0,30,0.996004,1.0,-0.0039959999999999996
2017-05-31,-0.002,30,0.994011992,1.0,-0.005988007999999989
2017-06-01,0.0,30,0.994011992,1.0,-0.005988007999999989
2017-06-02,0.0,30,0.994011992,1.0,-0.005988007999999989
2017-06-05,0.0,30,0.994011992,1.0,-0.005988007999999989
2017-06-06,0.0,30,0.994011992,1.0,-0.005988007999999989
2017-06-07,0.0,30,0.994011992,1.0,-0.005988007999999989
2017-06-08,0.0,30,0.994011992,1.0,-0.005988007999999989
2017-06-09,0.0,30,0.994011992,1.0,-0.005988007999999989
2017-06-12,0.0,30,0.994011992,1.0,-0.005988007999999989
2017-06-13,0.0,30,0.994011992,1.0,-0.005988007999999989
2017-06-14,0.0,30,0.994011992,1.0,-0.005988007999999989
2017-06-15,0.0,30,0.994011992,1.0,-0.005988007999999989
2017-06-16,0.0,30,0.994011992,1.0,-0.005988007999999989
2017-06-19,0.0,30,0.994011992,1.0,-0.005988007999999989
