code,date,score,rank
600549,2017-02-28,1.3522465016331686,1
600233,2017-02-28,1.2800345245905413,2
603799,2017-02-28,1.2652954330611326,3
600760,2017-02-28,1.1581659821861816,4
300418,2017-02-28,1.0335552423404728,5
600926,2017-02-28,1.0285910035624013,6
600809,2017-02-28,0.8841343417413164,7
2230,2017-02-28,0.8757411894620187,8
2236,2017-02-28,0.8207428607605857,9
601633,2017-02-28,0.8171555227276966,10
300408,2017-02-28,0.8162140091330929,11
2352,2017-02-28,0.7546920734733162,12
2558,2017-02-28,0.753474827168476,13
2415,2017-02-28,0.7392037050503437,14
2460,2017-02-28,0.7186476523031143,15
2709,2017-02-28,0.6935174805330201,16
2353,2017-02-28,0.6832803135773374,17
600183,2017-02-28,0.6500301304762487,18
603369,2017-02-28,0.6184285751987761,19
601117,2017-02-28,0.5784954285910836,20
2466,2017-02-28,0.5735721865869496,21
657,2017-02-28,0.5707719908855087,22
300308,2017-02-28,0.5677122867533481,23
2028,2017-02-28,0.5184615578952334,24
2142,2017-02-28,0.5175010411855461,25
600011,2017-02-28,0.5084880068736887,26
300014,2017-02-28,0.47708534819033854,27
568,2017-02-28,0.47506712779634713,28
600660,2017-02-28,0.464220442533726,29
601800,2017-02-28,0.4447843820265231,30
600660,2017-03-31,1.2304086730600452,1
300450,2017-03-31,1.1005394260960155,2
601088,2017-03-31,1.0267460672635982,3
2415,2017-03-31,0.9621800193411133,4
2466,2017-03-31,0.9476247431948807,5
2475,2017-03-31,0.9104626799408818,6
2241,2017-03-31,0.8617630154239121,7
2384,2017-03-31,0.8388599252485066,8
601012,2017-03-31,0.838353162149594,9
600741,2017-03-31,0.8294189730854592,10
300316,2017-03-31,0.7897924028840183,11
2460,2017-03-31,0.7888548021729092,12
300014,2017-03-31,0.7319953260520687,13
568,2017-03-31,0.7308875078865569,14
600196,2017-03-31,0.7039054561709223,15
2230,2017-03-31,0.6930490851278144,16
858,2017-03-31,0.6749200318054984,17
600760,2017-03-31,0.6658953695446052,18
600188,2017-03-31,0.6273328129457748,19
600183,2017-03-31,0.6271505285453344,20
300308,2017-03-31,0.6184740913134509,21
601607,2017-03-31,0.6072341616209626,22
600066,2017-03-31,0.6020489404921211,23
300408,2017-03-31,0.5953206169589103,24
600674,2017-03-31,0.578186578406608,25
600690,2017-03-31,0.5757152397296763,26
600584,2017-03-31,0.5639190484877049,27
895,2017-03-31,0.5519457463146243,28
2074,2017-03-31,0.5447698493754873,29
601888,2017-03-31,0.5389749890714648,30
600900,2017-04-28,1.38953162969928,1
600674,2017-04-28,1.3315080216333401,2
2415,2017-04-28,1.2061803720659328,3
600000,2017-04-28,0.9663561790293697,4
600958,2017-04-28,0.8863610801638034,5
300408,2017-04-28,0.8617868811689583,6
600027,2017-04-28,0.8441676902518584,7
2050,2017-04-28,0.8131931729284662,8
601012,2017-04-28,0.7939774587677837,9
600030,2017-04-28,0.7838552387378207,10
1,2017-04-28,0.778914734738554,11
600036,2017-04-28,0.7782718384296294,12
568,2017-04-28,0.7778813188242321,13
601788,2017-04-28,0.7729214808277322,14
2236,2017-04-28,0.7623052239224481,15
601211,2017-04-28,0.7463944321359085,16
600741,2017-04-28,0.744558200855411,17
600999,2017-04-28,0.7354018220131029,18
601377,2017-04-28,0.7217017163084966,19
601601,2017-04-28,0.7084730352975684,20
601398,2017-04-28,0.707296044419779,21
601318,2017-04-28,0.7071743400388263,22
601857,2017-04-28,0.7015359108849469,23
600009,2017-04-28,0.6951922118824392,24
2475,2017-04-28,0.6815039351624863,25
600196,2017-04-28,0.6767203953011055,26
600660,2017-04-28,0.6668087867228168,27
776,2017-04-28,0.6576882483148027,28
2460,2017-04-28,0.6458084496358804,29
858,2017-04-28,0.600206473392766,30
600900,2017-05-31,1.4971808870076788,1
601788,2017-05-31,1.3559211194793714,2
600999,2017-05-31,1.3515418028987307,3
600674,2017-05-31,1.2316715495826651,4
601336,2017-05-31,1.1042662662428537,5
600061,2017-05-31,0.9918704657569517,6
600023,2017-05-31,0.9886872626362612,7
600958,2017-05-31,0.9558651938166992,8
600741,2017-05-31,0.9307741846021257,9
601211,2017-05-31,0.9076455885172577,10
601006,2017-05-31,0.8945111105942963,11
600415,2017-05-31,0.8594084079402805,12
601607,2017-05-31,0.8281060479335954,13
600660,2017-05-31,0.8275939482808008,14
600196,2017-05-31,0.8271150280855091,15
600221,2017-05-31,0.8014430288059043,16
600009,2017-05-31,0.7672346292864797,17
2475,2017-05-31,0.760774970541877,18
601628,2017-05-31,0.7508996466435122,19
600104,2017-05-31,0.7329234880802663,20
600085,2017-05-31,0.70797749284104,21
601088,2017-05-31,0.681366770084377,22
600066,2017-05-31,0.6731463825729849,23
601229,2017-05-31,0.6709052466450042,24
601857,2017-05-31,0.6622813505162931,25
601688,2017-05-31,0.6432842980408312,26
601601,2017-05-31,0.6398450521256444,27
600690,2017-05-31,0.6360759060064304,28
600030,2017-05-31,0.6236558430753045,29
601398,2017-05-31,0.5988854916965166,30
600674,2017-06-30,1.3344552738272695,1
600900,2017-06-30,1.2546336485086564,2
600999,2017-06-30,1.149266647035524,3
600741,2017-06-30,1.0322935876419044,4
2050,2017-06-30,1.0158313905679919,5
2648,2017-06-30,0.9974741838463647,6
601857,2017-06-30,0.8996725529615106,7
601211,2017-06-30,0.8863103780383216,8
601607,2017-06-30,0.8847722260999378,9
601898,2017-06-30,0.8547759681746373,10
601788,2017-06-30,0.8339971172972946,11
603799,2017-06-30,0.7934766817020819,12
601229,2017-06-30,0.7589781298603655,13
601688,2017-06-30,0.7477884127233342,14
601601,2017-06-30,0.7227245610888043,15
600061,2017-06-30,0.7165859273729357,16
600018,2017-06-30,0.7149817364294934,17
2236,2017-06-30,0.6934326619208996,18
600221,2017-06-30,0.6828691328726356,19
600958,2017-06-30,0.6742738169218984,20
600023,2017-06-30,0.649813155948262,21
300274,2017-06-30,0.6365782993388418,22
600415,2017-06-30,0.6231472754010937,23
600886,2017-06-30,0.6223022977047307,24
2466,2017-06-30,0.6067657105234255,25
1,2017-06-30,0.6060928097579171,26
601018,2017-06-30,0.5974526820442608,27
601901,2017-06-30,0.5948481084939554,28
600066,2017-06-30,0.5901408766518331,29
2422,2017-06-30,0.5885650416303471,30
600900,2017-07-31,1.2364694775318554,1
600674,2017-07-31,1.0973569502469687,2
600023,2017-07-31,1.059028947950772,3
601012,2017-07-31,1.0413220714184945,4
600886,2017-07-31,1.0380987920045148,5
600415,2017-07-31,0.9906020293708298,6
601788,2017-07-31,0.9335437095865183,7
601857,2017-07-31,0.9250098104975839,8
601985,2017-07-31,0.9216219647602317,9
601390,2017-07-31,0.9079978518004358,10
600018,2017-07-31,0.9070203544907617,11
600115,2017-07-31,0.8956853900674243,12
600061,2017-07-31,0.8392022619728277,13
601766,2017-07-31,0.8209869390564429,14
2050,2017-07-31,0.7768268816722917,15
600999,2017-07-31,0.7760252452202853,16
600585,2017-07-31,0.7679095927527512,17
600221,2017-07-31,0.7403486282418559,18
600875,2017-07-31,0.722443116927062,19
601618,2017-07-31,0.7187476220090675,20
2466,2017-07-31,0.691406397957358,21
601601,2017-07-31,0.6760971534221242,22
2236,2017-07-31,0.6465348264620698,23
2648,2017-07-31,0.6452807844499973,24
657,2017-07-31,0.6441494063364034,25
603799,2017-07-31,0.6314379427231163,26
